channelNumb	JulianDay	PossibleDecayLength(MicroSeconds)	StartDecay	EndDecay	FirstSignalTimeOverThreshold(nanoseconds)	SecondSignalTimeoverThreshold(nanoseconds)	PossibleDecayNumber
6234.1	2458114	6.54125	0.5018814285728443	0.5018814286485532	22.49	20.00	1
6234.2	2458114	6.54000	0.5018814285729600	0.5018814286486545	17.51	15.00	1
6234.1	2458114	1.37125	0.5030808204049768	0.5030808204208478	23.76	13.75	1
6234.2	2458114	1.37000	0.5030808204050636	0.5030808204209202	20.00	14.99	1
6234.1	2458114	2.56001	0.5031230972545427	0.5031230972841725	23.75	17.50	1
6234.2	2458114	2.56126	0.5031230972546296	0.5031230972842737	21.26	11.25	1
6234.1	2458114	6.98000	0.5031380545270110	0.5031380546077980	20.00	12.50	1
6234.2	2458114	6.98000	0.5031380545270544	0.5031380546078414	21.25	15.00	1
6234.1	2458114	1.02500	0.5033019391655382	0.5033019391774016	22.49	23.74	1
6234.2	2458114	1.02500	0.5033019391656395	0.5033019391775029	17.50	17.50	1
6234.1	2458114	4.56125	0.5034661479251302	0.5034661479779224	18.74	11.24	1
6234.2	2458114	4.56125	0.5034661479251447	0.5034661479779369	23.74	17.50	1
6234.1	2458114	0.36000	0.5043015750572193	0.5043015750613860	12.50	17.51	1
6234.2	2458114	0.36125	0.5043015750573061	0.5043015750614872	20.00	12.50	1
6234.1	2458114	1.11375	0.5050709111805700	0.5050709111934606	23.75	18.75	1
6234.2	2458114	1.11376	0.5050709111806279	0.5050709111935185	22.50	17.50	1
6234.1	2458114	1.19000	0.5058758669572627	0.5058758669710359	13.75	14.99	1
6234.2	2458114	1.19376	0.5058758669573350	0.5058758669711516	25.00	20.00	1
6234.1	2458114	1.16877	0.5058758669575085	0.5058758669710359	7.50	14.99	1
6234.1	2458114	0.95000	0.5063961293941117	0.5063961294051070	22.49	16.25	1
6234.2	2458114	0.95000	0.5063961293941550	0.5063961294051504	22.50	16.25	1
6234.1	2458114	0.86500	0.5065018265733796	0.5065018265833912	16.25	12.50	1
6234.2	2458114	0.86500	0.5065018265734086	0.5065018265834201	18.75	17.50	1
6234.1	2458114	1.88876	0.5065573741182435	0.5065573741401042	20.01	22.50	1
6234.2	2458114	1.88749	0.5065573741183160	0.5065573741401620	17.50	23.75	1
6234.1	2458114	0.77500	0.5069151073060908	0.5069151073150607	23.75	13.76	1
6234.2	2458114	0.77625	0.5069151073061487	0.5069151073151331	23.75	13.75	1
6234.1	2458114	2.11499	0.5073182268074075	0.5073182268318865	14.99	14.99	1
6234.2	2458114	2.11375	0.5073182268075086	0.5073182268319733	22.50	21.26	1
6234.1	2458114	2.09376	0.5073182268076533	0.5073182268318865	8.75	14.99	1
6234.1	2458114	1.08625	0.5075761760552228	0.5075761760677951	18.74	12.49	1
6234.2	2458114	1.08749	0.5075761760552373	0.5075761760678240	22.49	12.50	1
6234.1	2458114	1.32126	0.5079880741573785	0.5079880741726708	15.00	11.24	1
6234.2	2458114	1.32000	0.5079880741574219	0.5079880741726996	28.75	13.75	1
6234.1	2458114	1.30251	0.5079880741575954	0.5079880741726708	7.50	11.24	1
6234.1	2458114	1.32249	0.5089380540122975	0.5089380540276042	19.99	12.50	1
6234.2	2458114	1.32249	0.5089380540124422	0.5089380540277488	8.75	13.75	1
6234.1	2458114	1.18749	0.5089690530782986	0.5089690530920428	19.99	15.00	1
6234.2	2458114	1.18875	0.5089690530783709	0.5089690530921296	18.74	13.76	1
6234.1	2458114	1.20750	0.5105378753295573	0.5105378753435330	22.49	12.50	1
6234.2	2458114	1.20750	0.5105378753296151	0.5105378753435909	25.00	11.25	1
6234.1	2458114	2.71750	0.5116587468224826	0.5116587468539351	13.75	10.00	1
6234.2	2458114	2.71751	0.5116587468224970	0.5116587468539496	17.51	13.75	1
6234.1	2458114	0.57874	0.5117708727933739	0.5117708728000723	20.00	16.26	1
6234.2	2458114	0.57874	0.5117708727934607	0.5117708728001591	17.50	11.25	1
6234.1	2458114	0.64250	0.5120290296007088	0.5120290296081452	13.76	15.00	1
6234.2	2458114	0.64000	0.5120290296007523	0.5120290296081597	15.00	18.75	1
6234.2	2458114	0.62000	0.5120290296009837	0.5120290296081597	8.76	18.75	1
6234.1	2458114	8.92001	0.5121784957383535	0.5121784958415944	13.76	12.50	1
6234.2	2458114	8.91875	0.5121784957383825	0.5121784958416088	16.25	22.50	1
6234.1	2458114	0.34751	0.5125527536854599	0.5125527536894821	23.76	18.74	1
6234.2	2458114	0.34625	0.5125527536855179	0.5125527536895255	22.50	18.74	1
6234.1	2458114	1.72375	0.5130708117470920	0.5130708117670428	21.25	16.24	1
6234.2	2458114	1.72374	0.5130708117471644	0.5130708117671151	17.50	15.00	1
6234.1	2458114	1.56875	0.5134075341543837	0.5134075341725405	22.49	13.76	1
6234.2	2458114	1.56875	0.5134075341543981	0.5134075341725549	15.00	18.75	1
6234.1	2458114	1.65250	0.5160125747065104	0.5160125747256366	13.75	17.50	1
6234.2	2458114	1.65499	0.5160125747066117	0.5160125747257667	18.75	8.76	1
6234.1	2458114	1.63625	0.5160125747066985	0.5160125747256366	10.00	17.50	1
6234.1	2458114	4.24500	0.5160208633068432	0.5160208633559751	20.00	17.51	1
6234.2	2458114	4.24500	0.5160208633069444	0.5160208633560763	17.51	13.76	1
6234.1	2458114	0.74875	0.5174313066025896	0.5174313066112557	12.50	23.75	1
6234.2	2458114	0.75000	0.5174313066027054	0.5174313066113859	18.75	15.00	1
6234.1	2458114	0.72875	0.5174313066028211	0.5174313066112557	8.76	23.75	1
6234.1	2458114	0.30625	0.5184684929667679	0.5184684929703125	17.50	16.24	1
6234.2	2458114	0.30750	0.5184684929668691	0.5184684929704282	12.50	6.24	1
6234.1	2458114	2.35377	0.5198431620442707	0.5198431620715134	23.75	19.99	1
6234.2	2458114	2.35375	0.5198431620443142	0.5198431620715567	23.74	20.00	1
6234.1	2458114	1.56125	0.5199707036736979	0.5199707036917679	13.76	13.75	1
6234.2	2458114	1.56249	0.5199707036737558	0.5199707036918402	25.00	23.75	1
6234.1	2458114	1.54375	0.5199707036739004	0.5199707036917679	6.25	13.75	1
6234.1	2458114	1.74625	0.5206940796309172	0.5206940796511285	21.26	15.00	1
6234.2	2458114	1.74625	0.5206940796309462	0.5206940796511574	26.25	17.50	1
6234.1	2458114	2.37125	0.5217228778356336	0.5217228778630787	13.76	12.50	1
6234.2	2458114	2.37125	0.5217228778356626	0.5217228778631077	19.99	13.75	1
6234.1	2458114	4.45001	0.5222627002417679	0.5222627002932726	17.50	13.75	1
6234.2	2458114	4.45125	0.5222627002417969	0.5222627002933160	21.25	16.24	1
6234.1	2458114	0.30124	0.5233231796267795	0.5233231796302661	11.25	12.51	1
6234.2	2458114	0.30125	0.5233231796268374	0.5233231796303240	11.25	11.25	1
6234.1	2458114	3.23626	0.5242200506796151	0.5242200507170718	16.25	18.74	1
6234.2	2458114	3.23625	0.5242200506797453	0.5242200507172019	20.00	11.25	1
6234.1	2458114	1.20249	0.5256941250046152	0.5256941250185330	18.74	20.00	1
6234.2	2458114	1.20249	0.5256941250047599	0.5256941250186776	8.75	10.00	1
6234.1	2458114	0.46750	0.5267126601974971	0.5267126602029080	21.25	16.25	1
6234.2	2458114	0.46625	0.5267126601975405	0.5267126602029369	22.49	18.74	1
6234.1	2458114	0.52249	0.5269922228083478	0.5269922228143952	21.25	11.25	1
6234.2	2458114	0.52250	0.5269922228083767	0.5269922228144241	22.50	13.76	1
6234.1	2458114	1.53250	0.5278977350163339	0.5278977350340711	18.75	16.26	1
6234.2	2458114	1.53499	0.5278977350164497	0.5278977350342158	11.25	7.50	1
6234.1	2458114	1.25500	0.5290540189961516	0.5290540190106771	21.25	8.75	1
6234.2	2458114	1.25500	0.5290540189961660	0.5290540190106915	26.24	11.25	1
6234.1	2458114	1.15874	0.5293200112851707	0.5293200112985821	26.25	20.00	1
6234.2	2458114	1.16126	0.5293200112852430	0.5293200112986834	21.26	13.75	1
6234.1	2458114	0.43250	0.5308768541836372	0.5308768541886429	21.25	13.75	1
6234.2	2458114	0.43125	0.5308768541837384	0.5308768541887298	13.75	23.74	1
6234.1	2458114	1.69375	0.5314964390617766	0.5314964390813801	16.25	13.76	1
6234.2	2458114	1.69376	0.5314964390618344	0.5314964390814381	30.00	12.50	1
6234.1	2458114	1.80750	0.5323084064191261	0.5323084064400463	20.00	13.76	1
6234.2	2458114	1.80500	0.5323084064192275	0.5323084064401187	14.99	25.00	1
6234.1	2458114	4.03251	0.5330457499809171	0.5330457500275897	21.26	21.25	1
6234.2	2458114	4.03001	0.5330457499810329	0.5330457500276765	16.25	16.25	1
6234.1	2458114	3.30875	0.5333162207723958	0.5333162208106915	13.75	17.51	1
6234.2	2458114	3.31125	0.5333162207725405	0.5333162208108652	16.25	2.50	1
6234.1	2458114	3.28625	0.5333162207726562	0.5333162208106915	7.50	17.51	1
6234.1	2458114	3.22000	0.5343560676765335	0.5343560677138021	22.50	10.00	1
6234.2	2458114	3.22126	0.5343560676765768	0.5343560677138599	25.01	11.25	1
6234.1	2458114	2.08126	0.5378730318907117	0.5378730319148003	18.75	10.00	1
6234.2	2458114	2.08250	0.5378730318907262	0.5378730319148293	22.50	10.00	1
6234.1	2458114	2.07124	0.5379939064794271	0.5379939065033998	12.50	13.76	1
6234.2	2458114	2.07251	0.5379939064795861	0.5379939065035735	13.76	11.25	1
6234.1	2458114	3.17376	0.5388553637103443	0.5388553637470775	23.75	17.50	1
6234.2	2458114	3.17376	0.5388553637103731	0.5388553637471064	27.51	20.00	1
6234.1	2458114	1.73500	0.5406698482167535	0.5406698482368345	13.76	15.00	1
6234.2	2458114	1.73500	0.5406698482167823	0.5406698482368634	26.25	17.51	1
6234.1	2458114	1.71751	0.5406698482169560	0.5406698482368345	6.25	15.00	1
6234.1	2458114	0.39625	0.5408073317178386	0.5408073317224248	17.50	13.75	1
6234.2	2458114	0.39750	0.5408073317178964	0.5408073317224971	17.50	11.26	1
6234.1	2458114	3.24249	0.5408728163022569	0.5408728163397858	20.00	15.00	1
6234.2	2458114	3.24374	0.5408728163024017	0.5408728163399450	21.24	15.00	1
6234.1	2458114	3.21625	0.5408728163025607	0.5408728163397858	10.00	15.00	1
6234.1	2458114	1.61125	0.5421278903979311	0.5421278904165798	12.50	13.75	1
6234.2	2458114	1.61125	0.5421278903980179	0.5421278904166666	11.25	10.00	1
6234.1	2458114	3.74875	0.5424207456851273	0.5424207457285156	16.24	22.50	1
6234.2	2458114	3.74750	0.5424207456852140	0.5424207457285879	11.25	21.26	1
6234.1	2458114	6.05376	0.5433680203585792	0.5433680204286458	22.49	11.25	1
6234.2	2458114	6.05376	0.5433680203586516	0.5433680204287182	21.25	10.00	1
6234.1	2458114	0.81875	0.5436253981358362	0.5436253981453125	22.49	18.74	1
6234.2	2458114	0.81999	0.5436253981359086	0.5436253981453992	21.24	16.25	1
6234.1	2458114	2.64625	0.5450102519205584	0.5450102519511864	12.50	17.50	1
6234.2	2458114	2.64750	0.5450102519206886	0.5450102519513310	14.99	7.49	1
6234.1	2458114	2.62876	0.5450102519207609	0.5450102519511864	10.00	17.50	1
6234.1	2458114	1.19626	0.5454566524669414	0.5454566524807870	25.01	17.50	1
6234.2	2458114	1.19501	0.5454566524670861	0.5454566524809172	15.01	8.75	1
6234.1	2458114	0.36624	0.5487041660804832	0.5487041660847222	21.25	13.76	1
6234.2	2458114	0.36500	0.5487041660805265	0.5487041660847510	23.76	16.26	1
6234.1	2458114	0.37875	0.5499287481382378	0.5499287481426215	13.76	22.49	1
6234.2	2458114	0.37875	0.5499287481383246	0.5499287481427083	11.25	17.50	1
6234.1	2458114	0.37875	0.5499317043284143	0.5499317043327980	20.01	10.00	1
6234.2	2458114	0.37750	0.5499317043284577	0.5499317043328269	22.50	12.50	1
6234.1	2458114	1.19124	0.5510948021349392	0.5510948021487267	11.24	23.76	1
6234.2	2458114	1.19000	0.5510948021350839	0.5510948021488571	15.00	16.25	1
6234.1	2458114	1.17375	0.5510948021351417	0.5510948021487267	7.50	23.76	1
6234.1	2458114	0.94500	0.5519082225882378	0.5519082225991753	16.25	13.76	1
